"plate 20, col = purification.well","","","","","","","","","","","",""
"A","20A1","20A2","20A3","20A4","20A5","20A6","20A7","20A8","20A9","20A10","20A11","20A12"
"B","20B1","20B2","20B3","20B4","20B5","20B6","20B7","20B8","20B9","20B10","20B11","20B12"
"C","20C1","20C2","20C3","20C4","20C5","20C6","20C7","20C8","20C9","20C10","20C11","20C12"
"D","20D1","20D2","20D3","20D4","20D5","20D6","20D7","20D8","20D9","20D10","20D11","20D12"
"E","20E1","20E2","20E3","20E4","20E5","20E6","20E7","20E8","20E9","20E10","20E11","20E12"
"F","20F1","20F2","20F3","20F4","20F5","20F6","20F7","20F8","20F9","20F10","20F11","20F12"
"G","20G1","20G2","20G3","20G4","20G5","20G6","20G7","20G8","20G9","20G10","20G11","20G12"
"H","20H1","20H2","20H3","20H4","20H5","20H6","20H7","20H8","20H9","20H10","20H11","20H12"
"plate 20, col = source.flask","","","","","","","","","","","",""
"A","1","1","1","1","1","1","1","1","2","3","4","7"
"B","1","1","1","1","1","1","1","1","2","3","5","8"
"C","1","1","1","1","1","1","1","1","2","3","6","4"
"D","1","1","1","1","1","1","1","1","2","3","7","5"
"E","1","1","1","1","1","1","1","1","2","3","8","6"
"F","1","1","1","1","1","1","1","1","2","3","4","7"
"G","1","1","1","1","1","1","1","1","2","3","5","8"
"H","1","1","1","1","1","1","1","1","2","3","6","7"
"plate 20, col = mL.culture","","","","","","","","","","","",""
"A","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","2","2"
"B","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","2","2"
"C","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","2","2"
"D","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2","2"
"E","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","2","2"
"F","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.8","2","2"
"G","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","2","2"
"H","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2","2"
"plate 20, col = uL.resin","","","","","","","","","","","",""
"A","10","30","10","30","10","30","10","20","10","10","20","20"
"B","10","30","10","30","10","30","10","20","10","10","20","20"
"C","10","30","10","30","10","30","10","20","10","10","20","20"
"D","10","30","10","30","10","30","10","20","10","10","20","20"
"E","20","40","20","40","20","30","10","20","10","10","20","20"
"F","20","40","20","40","20","30","10","20","10","10","20","20"
"G","20","40","20","40","20","30","10","20","10","10","20","20"
"H","20","40","20","40","20","30","10","20","10","10","20","20"
"plate 20, col = mM.NaCl.for.lysis.and.wash","","","","","","","","","","","",""
"A","0","0","100","100","300","300","500","500","500","500","500","500"
"B","0","0","100","100","300","300","500","500","500","500","500","500"
"C","0","0","100","100","300","300","500","500","500","500","500","500"
"D","0","0","100","100","300","300","500","500","500","500","500","500"
"E","0","0","100","100","300","300","500","500","500","500","500","500"
"F","0","0","100","100","300","300","500","500","500","500","500","500"
"G","0","0","100","100","300","300","500","500","500","500","500","500"
"H","0","0","100","100","300","300","500","500","500","500","500","500"
"plate 20, col = uL.0mM.NaCl.lysis.buffer","","","","","","","","","","","",""
"A","200","200","160","160","80","80","0","0","0","0","0","0"
"B","200","200","160","160","80","80","0","0","0","0","0","0"
"C","200","200","160","160","80","80","0","0","0","0","0","0"
"D","200","200","160","160","80","80","0","0","0","0","0","0"
"E","200","200","160","160","80","80","0","0","0","0","0","0"
"F","200","200","160","160","80","80","0","0","0","0","0","0"
"G","200","200","160","160","80","80","0","0","0","0","0","0"
"H","200","200","160","160","80","80","0","0","0","0","0","0"
"plate 20, col = uL.500mM.NaCl.lysis.buffer","","","","","","","","","","","",""
"A","0","0","40","40","120","120","200","200","200","200","200","200"
"B","0","0","40","40","120","120","200","200","200","200","200","200"
"C","0","0","40","40","120","120","200","200","200","200","200","200"
"D","0","0","40","40","120","120","200","200","200","200","200","200"
"E","0","0","40","40","120","120","200","200","200","200","200","200"
"F","0","0","40","40","120","120","200","200","200","200","200","200"
"G","0","0","40","40","120","120","200","200","200","200","200","200"
"H","0","0","40","40","120","120","200","200","200","200","200","200"
"plate 20, col = mM.NaCl.in.lysis.and.first.two.washes","","","","","","","","","","","",""
"A","0","0","100","100","300","300","500","500","500","500","500","500"
"B","0","0","100","100","300","300","500","500","500","500","500","500"
"C","0","0","100","100","300","300","500","500","500","500","500","500"
"D","0","0","100","100","300","300","500","500","500","500","500","500"
"E","0","0","100","100","300","300","500","500","500","500","500","500"
"F","0","0","100","100","300","300","500","500","500","500","500","500"
"G","0","0","100","100","300","300","500","500","500","500","500","500"
"H","0","0","100","100","300","300","500","500","500","500","500","500"
"plate 20, col = mM.NaCl.in.last.2.washes","","","","","","","","","","","",""
"A","0","0","0","0","0","0","0","0","0","0","0","0"
"B","0","0","0","0","0","0","0","0","0","0","0","0"
"C","0","0","0","0","0","0","0","0","0","0","0","0"
"D","0","0","0","0","0","0","0","0","0","0","0","0"
"E","0","0","0","0","0","0","0","0","0","0","0","0"
"F","0","0","0","0","0","0","0","0","0","0","0","0"
"G","0","0","0","0","0","0","0","0","0","0","0","0"
"H","0","0","0","0","0","0","0","0","0","0","0","0"
"plate 20, col = uL.slurry.added","","","","","","","","","","","",""
"A","10","30","10","30","10","30","10","20","10","10","20","20"
"B","10","30","10","30","10","30","10","20","10","10","20","20"
"C","10","30","10","30","10","30","10","20","10","10","20","20"
"D","10","30","10","30","10","30","10","20","10","10","20","20"
"E","20","40","20","40","20","30","10","20","10","10","20","20"
"F","20","40","20","40","20","30","10","20","10","10","20","20"
"G","20","40","20","40","20","30","10","20","10","10","20","20"
"H","20","40","20","40","20","30","10","20","10","10","20","20"
"plate 20, col = uL.slurry.to.add","","","","","","","","","","","",""
"A","50","150","50","150","50","150","50","100","50","50","100","100"
"B","50","150","50","150","50","150","50","100","50","50","100","100"
"C","50","150","50","150","50","150","50","100","50","50","100","100"
"D","50","150","50","150","50","150","50","100","50","50","100","100"
"E","100","200","100","200","100","150","50","100","50","50","100","100"
"F","100","200","100","200","100","150","50","100","50","50","100","100"
"G","100","200","100","200","100","150","50","100","50","50","100","100"
"H","100","200","100","200","100","150","50","100","50","50","100","100"
